'', DOI, BibTeX Citation, Plain Text Citation, Plain Text Citation Style
0,"https://doi.org/10.1126/science.106.2750.251"," @article{Felber_1947, title={Direct Introduction of Chemical Substances Into Herbaceous Plants}, volume={106}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.106.2750.251}, DOI={10.1126/science.106.2750.251}, number={2750}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Felber, Irma M.}, year={1947}, month=sep, pages={251–251} } ","Felber, Irma M. 1947. “Direct Introduction of Chemical Substances Into Herbaceous Plants.” Science 106 (2750): 251–251. https://doi.org/10.1126/science.106.2750.251. ","chicago-author-date"
0,"https://doi.org/10.4324/9780429457074-6"," @article{Wang_2019, title={Art, Urban Renewal, and Grassroots Community Building}, url={http://dx.doi.org/10.4324/9780429457074-6}, DOI={10.4324/9780429457074-6}, journal={Socially Engaged Art in Contemporary China}, publisher={Routledge}, author={Wang, Meiqin}, year={2019}, month=mar, pages={85–115} } ","Wang, M., 2019. Art, Urban Renewal, and Grassroots Community Building. Socially Engaged Art in Contemporary China 85–115. https://doi.org/10.4324/9780429457074-6 ","elsevier-harvard"
0,"https://doi.org/10.4209/aaqr.220179"," @article{Liu_2022, title={Association between Air Pollution and Risk of Hospital Admission for Pediatric Pneumonia in a Tropical City, Kaohsiung, Taiwan}, volume={22}, ISSN={2071-1409}, url={http://dx.doi.org/10.4209/aaqr.220179}, DOI={10.4209/aaqr.220179}, number={9}, journal={Aerosol and Air Quality Research}, publisher={Taiwan Association for Aerosol Research}, author={Liu, Peng-Huei and Huang, Kuo-Chen and Tseng, Yu-Lun and Chiu, I-Min and Pan, Hsiu-Yung and Cheng, Fu-Jen}, year={2022}, pages={220179} } ","Liu, P.-H., K.-C. Huang, Y.-L. Tseng, I.-M. Chiu, H.-Y. Pan & F.-J. Cheng, 2022. Association between Air Pollution and Risk of Hospital Admission for Pediatric Pneumonia in a Tropical City, Kaohsiung, Taiwan. Aerosol and Air Quality Research, 22: 220179. Taiwan Association for Aerosol Research. ","ecoscience"
0,"https://doi.org/10.1080/08949468.1998.9966758"," @article{Jacob_1998, title={Media spectacles: The production and reception of Tamil Cinema advertisements}, volume={11}, ISSN={0894-9468}, url={http://dx.doi.org/10.1080/08949468.1998.9966758}, DOI={10.1080/08949468.1998.9966758}, number={4}, journal={Visual Anthropology}, publisher={Informa UK Limited}, author={Jacob, Preminda}, year={1998}, pages={287–322} } ","Jacob, Preminda. 1998. “Media Spectacles: The Production and Reception of Tamil Cinema Advertisements.” Visual Anthropology 11 (4): 287–322. https://doi.org/10.1080/08949468.1998.9966758. ","chicago-author-date"
0,"https://doi.org/10.1002/jgt.3190120206"," @article{Olariu_1988, title={On the strong perfect graph conjecture}, volume={12}, ISSN={1097-0118}, url={http://dx.doi.org/10.1002/jgt.3190120206}, DOI={10.1002/jgt.3190120206}, number={2}, journal={Journal of Graph Theory}, publisher={Wiley}, author={Olariu, Stephan}, year={1988}, month=jun, pages={169–176} } ","Olariu, S., 1988. On the strong perfect graph conjecture. Journal of Graph Theory 12, 169–176. https://doi.org/10.1002/jgt.3190120206 ","elsevier-harvard"
0,"https://doi.org/10.1126/science.74.1927.553"," @article{Gomberg_1931, title={Some Reflections Concerning Valence Variation and Atomic Structure}, volume={74}, ISSN={1095-9203}, url={http://dx.doi.org/10.1126/science.74.1927.553}, DOI={10.1126/science.74.1927.553}, number={1927}, journal={Science}, publisher={American Association for the Advancement of Science (AAAS)}, author={Gomberg, M.}, year={1931}, month=dec, pages={553–557} } ","Gomberg, M. 1931. “Some Reflections Concerning Valence Variation and Atomic Structure.” Science 74 (1927): 553–57. https://doi.org/10.1126/science.74.1927.553. ","chicago-author-date"
0,"https://doi.org/10.1385/1-59259-362-3:169"," @article{Napolitano, title={The Long QT Syndrome: Molecular and Genetic Aspects}, url={http://dx.doi.org/10.1385/1-59259-362-3:169}, DOI={10.1385/1-59259-362-3:169}, journal={Cardiac Repolarization}, publisher={Humana Press}, author={Napolitano, Carlo and Priori, Silvia G.}, pages={169–186} } ","Napolitano, C. & S. G. Priori, (in press). The Long QT Syndrome: Molecular and Genetic Aspects. Cardiac Repolarization: 169–186. Humana Press. ","ecoscience"
0,"https://doi.org/10.1007/s11040-020-09362-2"," @article{Belmonte_2020, title={Constants of Motion of the Harmonic Oscillator}, volume={23}, ISSN={1572-9656}, url={http://dx.doi.org/10.1007/s11040-020-09362-2}, DOI={10.1007/s11040-020-09362-2}, number={4}, journal={Mathematical Physics, Analysis and Geometry}, publisher={Springer Science and Business Media LLC}, author={Belmonte, Fabián and Cuéllar, Sebastián}, year={2020}, month=oct } ","Belmonte, F. & S. Cuéllar, 2020. Constants of Motion of the Harmonic Oscillator. Mathematical Physics, Analysis and Geometry, 23. Springer Science and Business Media LLC. ","ecoscience"
0,"https://doi.org/10.1080/00219266.2006.9656014"," @article{Mart_nez_Gracia_2006, title={Analysis of molecular genetics content in Spanish secondary school textbooks}, volume={40}, ISSN={2157-6009}, url={http://dx.doi.org/10.1080/00219266.2006.9656014}, DOI={10.1080/00219266.2006.9656014}, number={2}, journal={Journal of Biological Education}, publisher={Informa UK Limited}, author={Martínez-Gracia, M. V. and Gil-Quílez, M. J. and Osada, J.}, year={2006}, month=mar, pages={53–60} } ","Martínez-Gracia, M. V., Gil-Quílez, M. J., & Osada, J. (2006). Analysis of molecular genetics content in Spanish secondary school textbooks. Journal of Biological Education, 40(2), 53–60. https://doi.org/10.1080/00219266.2006.9656014 ","apa"
0,"https://doi.org/10.21767/2472-5048.100034"," @article{Nathalie_2017, title={Multiple Sclerosis Presenting as Posterior Cortical Atrophy}, volume={02}, ISSN={2472-5048}, url={http://dx.doi.org/10.21767/2472-5048.100034}, DOI={10.21767/2472-5048.100034}, number={02}, journal={Dual Diagnosis: Open Access}, publisher={Scitechnol Biosoft Pvt. Ltd.}, author={Nathalie, Ehrle and Nia, Cason and Jean, Vaunaize and Tony, Garcia and Serge, Bakchine}, year={2017} } ","Nathalie, Ehrle, Cason Nia, Vaunaize Jean, Garcia Tony, and Bakchine Serge. 2017. “Multiple Sclerosis Presenting as Posterior Cortical Atrophy.” Dual Diagnosis: Open Access 02 (02). https://doi.org/10.21767/2472-5048.100034. ","chicago-author-date"
